CAS or NOCAS-number,SMILES,TC TPO inhibition activity,Presence in test set marked with *
76-44-8,C12(Cl)C(Cl)(Cl)C(Cl)(C(Cl)=C1Cl)C1C(Cl)C=CC21,Inactive,
76-87-9,C(=O)(CCCCCCC(=O)OCCCCC(CC)CO)OCCCCC(CC)CO,Inactive,
77-09-8,c1(C2(c3ccc(O)cc3)c3c(C(=O)O2)cccc3)ccc(O)cc1,Active,
77-40-7,c1(C(C)(c2ccc(O)cc2)CC)ccc(O)cc1,Active,
77-47-4,C1(Cl)C(Cl)(Cl)C(Cl)=C(Cl)C=1Cl,Inactive,
77-48-5,C1(=O)C(C)(C)N(Br)C(=O)N1Br,Inactive,
77-71-4,C1(=O)C(C)(C)NC(=O)N1,Inactive,
77-78-1,COS(=O)(=O)OC,Active,
77-89-4,C(=O)(C(CC(=O)OCC)(CC(=O)OCC)OC(C)=O)OCC,Inactive,
77-90-7,C(=O)(C(CC(=O)OCCCC)(CC(=O)OCCCC)OC(C)=O)OCCCC,Inactive,
77-92-9,C(=O)(O)C(O)(CC(=O)O)CC(=O)O,Inactive,
77-93-0,C(=O)(C(O)(CC(=O)OCC)CC(=O)OCC)OCC,Inactive,
78-42-2,C(CCCC)(CC)COP(=O)(OCC(CCCC)CC)OCC(CCCC)CC,Inactive,
78-48-8,C(CCC)SP(=O)(SCCCC)SCCCC,Inactive,
78-59-1,C1(=O)C=C(C)CC(C)(C)C1,Inactive,
78-63-7,C(C)(C)(CCC(C)(C)OOC(C)(C)C)OOC(C)(C)C,Inactive,
79-06-1,C(N)(=O)C=C,Inactive,
79-16-3,C(C)(=O)NC,Inactive,
79-39-0,C(N)(=O)C(=C)C,Inactive,
79-43-6,C(=O)(O)C(Cl)Cl,Inactive,
79-44-7,C(=O)(Cl)N(C)C,Inactive,
80-08-0,c1(S(=O)(=O)c2ccc(N)cc2)ccc(N)cc1,Active,
80-15-9,C(C)(C)(c1ccccc1)OO,Inactive,
