CAS or NOCAS-number,SMILES,TC TPO inhibition activity,Presence in test set marked with *
298-04-4,C(CSCC)SP(=S)(OCC)OCC,Inactive,
298-46-4,c12c(C=Cc3c(cccc3)N1C(N)=O)cccc2,Inactive,
300-76-5,C(Cl)(Cl)(Br)C(Br)OP(=O)(OC)OC,Inactive,
307-24-4,C(F)(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)O,Inactive,
309-00-2,C12(Cl)C(Cl)(Cl)C(Cl)(C(Cl)=C1Cl)C1C3C=CC(C21)C3,Inactive,
314-40-9,C1(=O)C(Br)C(C)=NC(=O)N1C(C)CC,Inactive,
319-85-7,C1(Cl)C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,Inactive,
330-54-1,c1(Cl)c(Cl)cc(NC(=O)N(C)C)cc1,Active,
330-55-2,c1(Cl)c(Cl)cc(NC(=O)N(C)OC)cc1,Active,
333-41-5,c1(C(C)C)nc(OP(=S)(OCC)OCC)cc(C)n1,Active,
334-48-5,C(=O)(O)CCCCCCCCC,Inactive,
335-67-1,C(F)(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)O,Inactive,
375-85-9,C(F)(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)O,Active,
427-51-0,C1(Cl)C2C(C)(C3C(C(=O)C=2)C3)C2C(C3C(C)(C(C(C)=O)(OC(C)=O)CC3)CC2)C=1,Inactive,
486-56-6,c1(C2CCC(=O)N2C)cccnc1,Inactive,
510-15-6,C(=O)(C(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1)OCC,Inactive,
521-18-6,C12(C)C(C3C(C4(C)C(CC(=O)CC4)CC3)CC1)CCC2O,Inactive,
527-60-6,c1(C)c(O)c(C)cc(C)c1,Active,
528-29-0,c1(N(=O)=O)c(N(=O)=O)cccc1,Inactive,
532-32-1,C(=O)(O)c1ccccc1,Inactive,
533-74-4,C1(=S)N(C)CN(C)CS1,Active,
534-52-1,c1(N(=O)=O)c(O)c(C)cc(N(=O)=O)c1,Inactive,
541-73-1,c1(Cl)cc(Cl)ccc1,Inactive,
544-76-3,C(C)CCCCCCCCCCCCCC,Inactive,
553-26-4,c1(-c2ccncc2)ccncc1,Inactive,
556-52-5,C1(CO)CO1,Inactive,
556-61-6,C(=S)=NC,Inactive,
556-67-2,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,Inactive,
563-12-2,C(C)OP(=S)(OCC)SCSP(=S)(OCC)OCC,Active,
576-26-1,c1(C)c(O)c(C)ccc1,Active,
579-66-8,c1(CC)c(N)c(CC)ccc1,Inactive,
584-13-4,C1N(N)C=NN=1,Inactive,
599-79-1,C(=O)(O)c1c(O)ccc(N=Nc2ccc(S(=O)(=O)Nc3ccccn3)cc2)c1,Inactive,
602-01-7,c1(N(=O)=O)c(N(=O)=O)c(C)ccc1,Inactive,
606-20-2,c1(N(=O)=O)c(C)c(N(=O)=O)ccc1,Inactive,
614-45-9,C(=O)(c1ccccc1)OOC(C)(C)C,Inactive,
621-64-7,C(CC)N(CCC)N=O,Inactive,
627-18-9,C(Br)CCO,Inactive,
627-93-0,C(=O)(CCCCC(=O)OC)OC,Inactive,
628-63-7,C(C)(=O)OCCC(C)C,Inactive,
629-62-9,C(C)CCCCCCCCCCCCC,Inactive,
629-76-5,C(O)CCCCCCCCCCCCCC,Inactive,
637-07-0,C(=O)(C(C)(C)Oc1ccc(Cl)cc1)OCC,Inactive,
647-42-7,C(F)(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCO,Inactive,
678-39-7,C(F)(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCO,Inactive,
709-98-8,c1(Cl)c(Cl)cc(NC(=O)CC)cc1,Active,
712-50-5,c1(C(=O)C2CCCCC2)ccccc1,Inactive,
744-45-6,C(=O)(c1cc(C(=O)Oc2ccccc2)ccc1)Oc1ccccc1,Inactive,
754-91-6,C(F)(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)S(N)(=O)=O,Inactive,
759-94-4,C(=O)(N(CCC)CCC)SCC,Inactive,
789-02-6,c1(Cl)c(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cccc1,Inactive,
797-63-7,C(#C)C1(O)C2(CC)C(C3C(C4C(=CC(=O)CC4)CC3)CC2)CC1,Inactive,
822-06-0,C(=O)=NCCCCCCN=C=O,Inactive,
824-78-2,c1(O)ccc(N(=O)=O)cc1,Inactive,
826-62-0,C1(=O)C2C(C(=O)O1)C1C=CC2C1,Inactive,
828-00-2,C(C)(=O)OC1CC(C)OC(C)O1,Inactive,
834-12-8,c1(SC)nc(NCC)nc(NC(C)C)n1,Inactive,
838-88-0,c1(N)c(C)cc(Cc2cc(C)c(N)cc2)cc1,Active,
872-50-4,C1(=O)CCCN1C,Inactive,
924-16-3,C(CCC)N(CCCC)N=O,Inactive,
929-59-9,C(CN)OCCOCCN,Inactive,
950-37-8,C1(=O)N(CSP(=S)(OC)OC)N=C(OC)S1,Active,
962-58-3,c1(C(C)C)nc(OP(=O)(OCC)OCC)cc(C)n1,Inactive,
1007-28-9,c1(Cl)nc(N)nc(NCC)n1,Inactive,
1024-57-3,C12(Cl)C(Cl)(Cl)C(Cl)(C(Cl)=C1Cl)C1C(Cl)C3C(C21)O3,Inactive,
1034-01-1,C(=O)(c1cc(O)c(O)c(O)c1)OCCCCCCCC,Active,
1095-90-5,C(=O)(C(c1ccccc1)(c1ccccc1)CC(C)N(C)C)CC,Inactive,
1119-40-0,C(=O)(CCCC(=O)OC)OC,Inactive,
1120-01-0,C(CCCCCCCCCCCCCCC)OS(=O)(=O)O,Inactive,
1120-21-4,C(C)CCCCCCCCC,Inactive,
1120-36-1,C(=C)CCCCCCCCCCCC,Inactive,
1120-71-4,C1CCOS1(=O)=O,Inactive,
1134-23-2,C(=O)(N(C1CCCCC1)CC)SCC,Inactive,
1156-19-0,c1(S(=O)(=O)NC(=O)NN2CCCCCC2)ccc(C)cc1,Active,
1194-65-6,C(#N)c1c(Cl)cccc1Cl,Inactive,
1300-72-7,c1(C)c(C)cc(S(=O)(=O)O)cc1,Inactive,
1338-43-8,C(=O)(CCCCCCCC=CCCCCCCCC)OCC(O)C1C(O)C(O)CO1,Inactive,
1445-75-6,C(C)(C)OP(C)(=O)OC(C)C,Inactive,
1563-66-2,c1(OC(=O)NC)c2c(ccc1)CC(C)(C)O2,Inactive,
1582-09-8,C(F)(F)(F)c1cc(N(=O)=O)c(N(CCC)CCC)c(N(=O)=O)c1,Inactive,
1596-84-5,C(=O)(O)CCC(=O)NN(C)C,Inactive,
1610-18-0,c1(OC)nc(NC(C)C)nc(NC(C)C)n1,Inactive,
1634-78-2,C(=O)(C(CC(=O)OCC)SP(=O)(OC)OC)OCC,Active,
1646-75-9,C(C)(C)(CN=O)SC,Inactive,
1689-84-5,C(#N)c1cc(Br)c(O)c(Br)c1,Inactive,
1698-60-8,C1(=O)C(Cl)C(=N)C=NN1c1ccccc1,Inactive,
1763-23-1,C(F)(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)S(=O)(=O)O,Inactive,
1836-75-5,c1(Oc2ccc(N(=O)=O)cc2)c(Cl)cc(Cl)cc1,Inactive,
1843-05-6,c1(C(=O)c2c(O)cc(OCCCCCCCC)cc2)ccccc1,Inactive,
1861-32-1,C(=O)(c1c(Cl)c(Cl)c(C(=O)OC)c(Cl)c1Cl)OC,Inactive,
1861-40-1,C(F)(F)(F)c1cc(N(=O)=O)c(N(CCCC)CC)c(N(=O)=O)c1,Inactive,
1897-45-6,C(#N)c1c(Cl)c(C#N)c(Cl)c(Cl)c1Cl,Inactive,
1912-24-9,c1(Cl)nc(NCC)nc(NC(C)C)n1,Inactive,
1918-00-9,C(=O)(O)c1c(OC)c(Cl)ccc1Cl,Inactive,
1/2/1918,C(=O)(O)c1c(Cl)c(N)c(Cl)c(Cl)n1,Inactive,
1918-16-7,c1(N(C(=O)CCl)C(C)C)ccccc1,Inactive,
1929-77-7,C(=O)(N(CCC)CCC)SCCC,Inactive,
1929-82-4,C(Cl)(Cl)(Cl)c1cccc(Cl)n1,Inactive,
1934-21-0,C(=O)(O)C1C(N=Nc2ccc(S(=O)(=O)O)cc2)C(=O)N(c2ccc(S(=O)(=O)O)cc2)N=1,Inactive,
1948-33-0,C(C)(C)(C)c1c(O)ccc(O)c1,Active,
2008-41-5,C(=O)(N(CC(C)C)CC(C)C)SCC,Inactive,
2043-57-4,C(F)(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCI,Inactive,
2058-94-8,C(F)(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)O,Inactive,
2104-64-5,c1(OP(=S)(c2ccccc2)OCC)ccc(N(=O)=O)cc1,Active,
2144-53-8,C(F)(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCOC(=O)C(=C)C,Inactive,
2164-17-2,C(F)(F)(F)c1cc(NC(=O)N(C)C)ccc1,Inactive,
2176-62-7,c1(Cl)c(Cl)c(Cl)c(Cl)c(Cl)n1,Inactive,
2212-67-1,C(=O)(N1CCCCCC1)SCC,Inactive,
2303-17-5,C(Cl)(Cl)=C(Cl)CSC(=O)N(C(C)C)C(C)C,Inactive,
2312-35-8,C(C)(C)(C)c1ccc(OC2C(OS(=O)OCC#C)CCCC2)cc1,Inactive,
2385-85-5,C12(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C(Cl)(C(Cl)(C35Cl)C1(Cl)Cl)C24Cl,Inactive,
2392-39-4,C(=O)(C1(O)C2(C)C(C3C(F)(C4(C)C(=CC(=O)C=C4)CC3)C(O)C2)CC1C)COP(=O)(O)O,Inactive,
2416-94-6,c1(C)c(O)c(C)c(C)cc1,Active,
1/6/2425,C1(=O)C2C(C(=O)N1SC(Cl)(Cl)C(Cl)Cl)CC=CC2,Inactive,
2432-87-3,C(=O)(CCCCCCCCC(=O)OCCCCCCCC)OCCCCCCCC,Inactive,
2433-14-9,C1(C2CCC(O)CC2)CCCCC1,Inactive,
2451-62-9,C1(=O)N(CC2CO2)C(=O)N(CC2CO2)C(=O)N1CC1CO1,Active,
2528-16-7,C(=O)(O)c1c(C(=O)OCc2ccccc2)cccc1,Inactive,
2550-40-5,C1(SSC2CCCCC2)CCCCC1,Inactive,
2593-15-9,C(Cl)(Cl)(Cl)C1N=C(OCC)SN=1,Inactive,
2605-79-0,C(CCCCCCCCC)N{+}(C)(C)O{-},Inactive,
2634-33-5,C1(=O)c2c(cccc2)SN1,Inactive,
2675-77-6,c1(Cl)c(OC)cc(Cl)c(OC)c1,Inactive,
2783-94-0,c1(O)c(N=Nc2ccc(S(=O)(=O)O)cc2)c2c(cc(S(=O)(=O)O)cc2)cc1,Inactive,
2835-95-2,c1(C)c(O)cc(N)cc1,Active,
2943-75-1,C(CCCCCCC)[Si](OCC)(OCC)OCC,Inactive,
2971-36-0,C(Cl)(Cl)(Cl)C(c1ccc(O)cc1)c1ccc(O)cc1,Active,
3033-77-0,C1(CN{+}(C)(C)C)CO1,Inactive,
3056-17-5,C1(=O)C(C)=CN(C2C=CC(CO)O2)C(=O)N1,Inactive,
3147-75-9,C(C)(C)(c1cc(N2Nc3c(cccc3)N2)c(O)cc1)CC(C)(C)C,Inactive,
3252-43-5,C(#N)C(Br)Br,Inactive,
3296-90-0,C(CO)(CO)(CBr)CBr,Inactive,
3319-31-1,C(=O)(c1c(C(=O)OCC(CCCC)CC)cc(C(=O)OCC(CCCC)CC)cc1)OCC(CCCC)CC,Active,
3739-38-6,C(=O)(O)c1cc(Oc2ccccc2)ccc1,Inactive,
3855-32-1,C(CCN(C)CCCN(C)C)N(C)C,Inactive,
3871-99-6,C(F)(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)S(=O)(=O)O,Inactive,
4098-71-9,C1(C)(C)CC(C)(CN=C=O)CC(N=C=O)C1,Inactive,
4151-50-2,C(F)(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)S(=O)(=O)NCC,Inactive,
4180-23-8,c1(C=CC)ccc(OC)cc1,Active,
4291-63-8,c1(N)c2c(nc(Cl)n1)N(C1CC(O)C(CO)O1)=CN2,Inactive,
4376-18-5,C(=O)(O)c1c(C(=O)OC)cccc1,Inactive,
4376-20-9,C(=O)(O)c1c(C(=O)OCC(CCCC)CC)cccc1,Inactive,
4418-26-2,C(C)(=O)C1C(=O)C=C(C)OC1=O,Inactive,
4449-51-8,C12(C(C)=C3C(C4C(C5(C)C(=CC4)CC(O)CC5)C3)CC1)C(C)C1C(CC(C)CN1)O2,Inactive,
4455-26-9,C(CCCCCCC)N(C)CCCCCCCC,Inactive,
4904-61-4,C1=CCCC=CCCC=CCC1,Inactive,
5216-25-1,C(Cl)(Cl)(Cl)c1ccc(Cl)cc1,Inactive,
5234-68-4,C(=O)(C1=C(C)OCCS1)Nc1ccccc1,Active,
5349-51-9,C(C)(C)(C1CCC(O)CC1)CC,Inactive,
5392-40-5,C(C)(=CC=O)CCC=C(C)C,Active,
5598-13-0,c1(Cl)c(Cl)cc(Cl)c(OP(=S)(OCC)OCC)n1,Active,
5877-42-9,C(#C)C(O)C(CCCC)CC,Inactive,
5902-51-2,C1(=O)C(Cl)C(C)=NC(=O)N1C(C)(C)C,Inactive,
5915-41-3,C(C)(C)(C)Nc1nc(Cl)nc(NCC)n1,Inactive,
6055-19-2,C1CCNP(=O)(N(CCCl)CCCl)O1,Inactive,
6153-64-6,C1(=O)C2(O)C(=O)C3C(=O)c4c(C(C)(O)C3C(O)C2C(N(C)C)C(=O)C1C(N)=O)cccc4O,Active,
6317-18-6,C(#N)SCSC#N,Active,
6381-77-7,C1(=O)C(=O)C(O)C(C(O)CO)O1,Active,
6385-62-2,c12-c3ccccn{+}3CCn{+}1cccc2,Inactive,
6422-86-2,C(=O)(c1ccc(C(=O)OCC(CCCC)CC)cc1)OCC(CCCC)CC,Inactive,
6624-73-3,C(=O)(c1ccccc1)OCCCCCOC(=O)c1ccccc1,Inactive,
6734-80-1,C(=S)(S)NC,Active,
6846-50-0,C(C)(C)(C(C(C)C)OC(=O)C(C)C)COC(=O)C(C)C,Inactive,
6923-22-4,C(=O)(C=C(C)OP(=O)(OC)OC)NC,Active,
7287-19-6,c1(SC)nc(NC(C)C)nc(NC(C)C)n1,Inactive,
7378-99-6,C(CCCCCCC)N(C)C,Inactive,
7696-12-0,C1(=O)C2=C(C(=O)N1COC(=O)C1C(C)(C)C1C=C(C)C)CCCC2,Inactive,
7747-35-5,C12(CC)COCN1COC2,Inactive,
7786-34-7,C(=O)(C=C(C)OP(=O)(OC)OC)OC,Active,
10016-20-3,C12C(O)C(O)C(C(CO)O1)OC1C(O)C(O)C(C(CO)O1)OC1C(O)C(O)C(C(CO)O1)OC1C(O)C(O)C(C(CO)O1)OC1C(O)C(O)C(C(CO)O1)OC1C(O)C(O)C(C(CO)O1)O2,Inactive,
10222-01-2,C(N)(=O)C(Br)(Br)C#N,Inactive,
10265-92-6,COP(N)(=O)SC,Active,
10540-29-1,c1(C(c2ccc(OCCN(C)C)cc2)=C(c2ccccc2)CC)ccccc1,Inactive,
12427-38-2,C(=S)(S)NCCNC(=S)S,Active,
13194-48-4,C(CC)SP(=O)(OCC)SCCC,Active,
13292-46-1,C12(C)C(=O)c3c(c(C)c(O)c4c(O)c(c(C=NN5CCN(C)CC5)c(O)c34)NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C(C)C(OC)C=CO1)O2,Active,
13311-84-7,C(F)(F)(F)c1c(N(=O)=O)ccc(NC(=O)C(C)C)c1,Inactive,
13674-87-8,C(CCl)(CCl)OP(=O)(OC(CCl)CCl)OC(CCl)CCl,Inactive,
15307-79-6,c1(Cl)c(Nc2c(CC(=O)O)cccc2)c(Cl)ccc1,Inactive,
15310-01-7,C(=O)(c1c(I)cccc1)Nc1ccccc1,Inactive,
15619-48-4,c12c(cccc1)cccn{+}2Cc1ccccc1,Inactive,
15972-60-8,c1(CC)c(N(C(=O)CCl)COC)c(CC)ccc1,Inactive,
16672-87-0,C(Cl)CP(=O)(O)O,Active,
16752-77-5,C(C)(=NOC(=O)NC)SC,Inactive,
17804-35-2,c12c(cccc1)N(C(=O)NCCCC)C(NC(=O)OC)=N2,Inactive,
19044-88-3,c1(N(=O)=O)c(N(CCC)CCC)c(N(=O)=O)cc(S(N)(=O)=O)c1,Inactive,
19666-30-9,C1(C(C)(C)C)=NN(c2c(Cl)cc(Cl)c(OC(C)C)c2)C(=O)O1,Inactive,
19774-82-4,c1(C(=O)C2c3c(cccc3)OC=2CCCC)cc(I)c(OCCN(CC)CC)c(I)c1,Inactive,
20325-40-0,c1(-c2cc(OC)c(N)cc2)cc(OC)c(N)cc1,Inactive,
21087-64-9,C1(=O)C(C(C)(C)C)=NN=C(SC)N1N,Inactive,
21725-46-2,C(#N)C(C)(C)Nc1nc(Cl)nc(NCC)n1,Inactive,
22224-92-6,c1(SC)c(C)cc(OP(=O)(NC(C)C)OCC)cc1,Inactive,
22781-23-3,c1(OC(=O)NC)c2c(ccc1)OC(C)(C)O2,Inactive,
22915-73-7,C(=O)(c1ccccc1)OCCCCCCOC(=O)c1ccccc1,Inactive,
23103-98-2,c1(OC(=O)N(C)C)c(C)c(C)nc(N(C)C)n1,Inactive,
23135-22-0,C(C(=O)N(C)C)(=NOC(=O)NC)SC,Inactive,
23184-66-9,c1(CC)c(N(C(=O)CCl)COCCCC)c(CC)ccc1,Inactive,
23422-53-9,c1(OC(=O)NC)cc(N=CN(C)C)ccc1,Active,
23564-05-8,c1(NC(=S)NC(=O)OC)c(NC(=S)NC(=O)OC)cccc1,Active,
23593-75-1,c1(C(c2c(Cl)cccc2)(c2ccccc2)N2C=CN=C2)ccccc1,Inactive,
23779-32-0,C(N)(=O)NCCC[Si](OCC)(OCC)OCC,Inactive,
23950-58-5,C(=O)(c1cc(Cl)cc(Cl)c1)NC(C)(C)C#C,Inactive,
24307-26-4,C1CCCCN{+}1(C)C,Inactive,
24602-86-6,C1(C)CN(CCCCCCCCCCCCC)CC(C)O1,Inactive,
25057-89-0,C1(=O)c2c(cccc2)NS(=O)(=O)N1C(C)C,Inactive,
25265-71-8,C(O)(CC)OC(O)CC,Inactive,
25498-49-1,C(C)(COC(C)COC(C)CO)OC,Inactive,
25606-41-1,C(=O)(NCCCN(C)C)OCCC,Inactive,
26172-55-4,C1(=O)C=C(Cl)SN1C,Inactive,
26225-79-6,C(=O)(O)C(C)c1ccc(CC(C)C)cc1,Inactive,
26530-20-1,C1(=O)C=CSN1CCCCCCCC,Inactive,
27178-16-1,C(=O)(CCCCC(=O)OCCCCCCCC(C)C)OCCCCCCCC(C)C,Inactive,
27314-13-2,C(F)(F)(F)c1cc(N2C(=O)C(Cl)C(=NC)C=N2)ccc1,Inactive,
27955-94-8,c1(C(C)(c2ccc(O)cc2)c2ccc(O)cc2)ccc(O)cc1,Active,
28249-77-6,c1(Cl)ccc(CSC(=O)N(CC)CC)cc1,Inactive,
29091-21-2,C(F)(F)(F)c1c(N)c(N(=O)=O)c(N(CCC)CCC)c(N(=O)=O)c1,Inactive,
29232-93-7,c1(OP(=S)(OC)OC)cc(C)nc(N(CC)CC)n1,Active,
29420-49-3,C(F)(F)(C(F)(F)C(F)(F)C(F)(F)F)S(=O)(=O)O,Inactive,
29590-42-9,C(=O)(C=C)OCCCCCC(C)C,Inactive,
30516-87-1,C1(=O)C(C)=CN(C2CC(N=N{+}=N)C(CO)O2)C(=O)N1,Inactive,
31218-83-4,C(=O)(C=C(C)OP(=S)(NCC)OC)OC(C)C,Inactive,
32809-16-8,C1(=O)C2(C)C(C)(C(=O)N1c1cc(Cl)cc(Cl)c1)C2,Inactive,
33089-61-1,c1(N=CN(C)C=Nc2c(C)cc(C)cc2)c(C)cc(C)cc1,Inactive,
33228-44-3,c1(N)ccc(CCCCC)cc1,Active,
33629-47-9,C(C)(C)(C)c1cc(N(=O)=O)c(NC(C)CC)c(N(=O)=O)c1,Inactive,
33703-08-1,C(=O)(CCCCC(=O)OCCCCCCC(C)C)OCCCCCCC(C)C,Inactive,
33820-53-0,c1(N(=O)=O)c(N(CCC)CCC)c(N(=O)=O)cc(C(C)C)c1,Inactive,
34014-18-1,C1(C(C)(C)C)=NN=C(N(C)C(=O)NC)S1,Inactive,
34256-82-1,c1(C)c(N(C(=O)CCl)COCC)c(CC)ccc1,Inactive,
34590-94-8,C(O)(CC)OCCCOC,Inactive,
35256-85-0,C(=O)(C(C)(C)C)N(C(C)C)Cc1ccccc1,Inactive,
35554-44-0,c1(Cl)c(C(CN2C=CN=C2)OCC=C)ccc(Cl)c1,Inactive,
35575-96-3,c12c(cc(Cl)cn1)OC(=O)N2CSP(=O)(OC)OC,Active,
36653-82-4,C(O)CCCCCCCCCCCCCCC,Inactive,
36734-19-7,c1(Cl)cc(Cl)cc(N2C(=O)CN(C(=O)NC(C)C)C2=O)c1,Inactive,
39515-41-8,C1(C)(C)C(C)(C)C1C(=O)OC(c1cc(Oc2ccccc2)ccc1)C#N,Inactive,
40487-42-1,c1(N(=O)=O)c(NC(CC)CC)c(N(=O)=O)c(C)c(C)c1,Inactive,
41372-08-1,C(=O)(O)C(C)(N)Cc1cc(O)c(O)cc1,Active,
41481-66-7,c1(O)c(CC=C)cc(S(=O)(=O)c2cc(CC=C)c(O)cc2)cc1,Active,
42509-80-8,C1(OP(=S)(OCC)OCC)N=C(Cl)N(C(C)C)N=1,Active,
42874-03-3,C(F)(F)(F)c1cc(Cl)c(Oc2cc(OCC)c(N(=O)=O)cc2)cc1,Inactive,
43121-43-3,C(C)(C)(C)C(=O)C(N1C=NC=N1)Oc1ccc(Cl)cc1,Inactive,
43222-48-6,c1(C2C=C(c3ccccc3)N(C)N{+}=2C)ccccc1,Inactive,
49562-28-9,c1(C(=O)c2ccc(OC(C)(C)C(=O)OC(C)C)cc2)ccc(Cl)cc1,Inactive,
50471-44-8,C1(=O)C(C)(C=C)OC(=O)N1c1cc(Cl)cc(Cl)c1,Inactive,
50594-66-6,C(=O)(O)c1c(N(=O)=O)ccc(Oc2c(Cl)cc(C(F)(F)F)cc2)c1,Inactive,
50892-23-4,c1(Nc2cc(Cl)nc(SCC(=O)O)n2)c(C)c(C)ccc1,Inactive,
51218-45-2,c1(C)c(N(C(=O)CCl)C(C)COC)c(CC)ccc1,Inactive,
51235-04-2,C1(=O)N(C2CCCCC2)C(=O)N(C)C(N(C)C)=N1,Inactive,
51338-27-3,c1(Oc2ccc(OC(C)C(=O)OC)cc2)c(Cl)cc(Cl)cc1,Inactive,
51707-55-2,c1(NC(=O)NC2=CN=NS2)ccccc1,Active,
52315-07-8,C(#N)C(c1cc(Oc2ccccc2)ccc1)OC(=O)C1C(C)(C)C1C=C(Cl)Cl,Inactive,
52645-53-1,C(=O)(C1C(C)(C)C1C=C(Cl)Cl)OCc1cc(Oc2ccccc2)ccc1,Inactive,
52806-53-8,C(F)(F)(F)c1c(N(=O)=O)ccc(NC(=O)C(C)(C)O)c1,Inactive,
53112-28-0,c1(C)cc(C)nc(Nc2ccccc2)n1,Inactive,
53894-23-8,C(=O)(c1c(C(=O)OCCCCCCC(C)C)cc(C(=O)OCCCCCCC(C)C)cc1)OCCCCCCC(C)C,Inactive,
54593-83-8,C(Cl)(Cl)(Cl)C(Cl)OP(=S)(OCC)OCC,Active,
55219-65-3,C(C)(C)(C)C(O)C(N1C=NC=N1)Oc1ccc(Cl)cc1,Inactive,
55283-68-6,C(F)(F)(F)c1cc(N(=O)=O)c(N(CC(=C)C)CC)c(N(=O)=O)c1,Inactive,
55285-14-8,c1(OC(=O)N(C)SN(CCCC)CCCC)c2c(ccc1)CC(C)(C)O2,Inactive,
55290-64-7,C1(C)=C(C)S(=O)(=O)CCS1(=O)=O,Inactive,
55335-06-3,c1(Cl)c(Cl)cc(Cl)c(OCC(=O)O)n1,Inactive,
55406-53-6,C(I)#CCOC(=O)NCCCC,Inactive,
57754-85-5,C(=O)(O)c1c(Cl)ccc(Cl)n1,Inactive,
57837-19-1,c1(C)c(N(C(=O)COC)C(C)C(=O)OC)c(C)ccc1,Inactive,
57966-95-7,C(=O)(C(C#N)=NOC)NC(=O)NCC,Active,
59669-26-0,C(C)(=NOC(=O)N(C)SN(C)C(=O)ON=C(C)SC)SC,Inactive,
59756-60-4,c1(C2C(=O)C(c3cc(C(F)(F)F)ccc3)=CN(C)C=2)ccccc1,Inactive,
60168-88-9,c1(C(O)(c2c(Cl)cccc2)c2ccc(Cl)cc2)cncnc1,Inactive,
60207-90-1,C1(c2c(Cl)cc(Cl)cc2)(CN2C=NC=N2)OC(CCC)CO1,Inactive,
62924-70-3,C(F)(F)(F)c1cc(N(=O)=O)c(N(Cc2c(Cl)cccc2F)CC)c(N(=O)=O)c1,Inactive,
63612-50-0,C(F)(F)(F)c1c(N(=O)=O)ccc(N2C(=O)C(C)(C)NC2=O)c1,Inactive,
66215-27-8,c1(N)nc(N)nc(NC2CC2)n1,Inactive,
66230-04-4,C(#N)C(c1cc(Oc2ccccc2)ccc1)OC(=O)C(c1ccc(Cl)cc1)C(C)C,Inactive,
66332-96-5,C(F)(F)(F)c1c(C(=O)Nc2cc(OC(C)C)ccc2)cccc1,Inactive,
66456-53-9,C(=O)(O)CCCCC(=O)OC(C)COC(=O)CCCCCCCCCCC,Inactive,
67747-09-5,c1(Cl)c(OCCN(C(=O)N2C=CN=C2)CCC)c(Cl)cc(Cl)c1,Inactive,
68359-37-5,c1(F)c(Oc2ccccc2)cc(C(C#N)OC(=O)C2C(C)(C)C2C=C(Cl)Cl)cc1,Inactive,
68392-35-8,c1(C(c2ccc(OCCN(C)C)cc2)=C(c2ccccc2)CC)ccc(O)cc1,Inactive,
68515-49-1,C(=O)(c1c(C(=O)OCCCCCCCC(C)C)cccc1)OCCCCCCCC(C)C,Inactive,
68694-11-1,C(F)(F)(F)c1c(N=C(COCCC)N2C=CN=C2)ccc(Cl)c1,Inactive,
69327-76-0,c1(N2C(=O)N(C(C)C)C(=NC(C)(C)C)SC2)ccccc1,Inactive,
69377-81-7,c1(F)c(Cl)c(N)c(Cl)c(OCC(=O)O)n1,Inactive,
69655-05-6,C1(=O)C2=C(N(C3CCC(CO)O3)C=N2)N=CN1,Inactive,
71283-80-2,c12c(cc(Cl)cc1)OC(Oc1ccc(OC(C)C(=O)OCC)cc1)=N2,Inactive,
71751-41-2,C12C3(O)C(C(=O)OC4CC5(C=CC(C)C(C(C)CC)O5)OC(CC=C(C)C(OC5CC(OC)C(OC6CC(OC)C(O)C(C)O6)C(C)O5)C(C)C=CC=1)C4)C=C(C)C(O)C3OC2,Inactive,
72178-02-0,C(=O)(c1c(N(=O)=O)ccc(Oc2c(Cl)cc(C(F)(F)F)cc2)c1)NS(C)(=O)=O,Inactive,
72490-01-8,c1(OCCNC(=O)OCC)ccc(Oc2ccccc2)cc1,Inactive,
74051-80-2,C(C1C(=O)CC(CC(C)SCC)CC1=O)(CCC)=NOCC,Inactive,
74115-24-5,c1(-c2c(Cl)cccc2)nnc(-c2c(Cl)cccc2)nn1,Inactive,
75330-75-5,C12C(C(CCC3CC(O)CC(=O)O3)C(C)C=C1)C(OC(=O)C(C)CC)CC(C)C=2,Inactive,
